,username,tweet,link
86,alyneraphaela,"@EncontroFatima ótimo programa que ajudaoutras pessoas,diagnóstico de depressão as pessoas julgam como frescura,inclusive quero lhe agradecer pôs após eu ir ao seu programa falar sobre relacionamentos abusivos (negguing) fui convidada a dar palestras em escolas",https://twitter.com/AlyneRaphaela/status/1124309427497185280
87,letyciafff,vc tem algum diagnóstico de depressao? eu tenho e passo pela mesma coisa... mas pelo menos eu tomo uns remédios e me ajuda bastante. já pensasse nessa possibilidade? junto com terapia etc,https://twitter.com/letyciafff/status/1124153082688999424
88,pet_costa_,"Gente, deixem só os psicólogos darem diagnóstico de depressão. Outra coisa, você acredita em Deus (crente tipo eu) e tá vendo alguém que não parece estar psicológicamente saudável? Ora pela pessoa e também incentive ela a procurar ajuda profissional. Uma coisa não anula a outra.",https://twitter.com/pet_costa_/status/1124123097731354625
89,smpths,Depressão não tem cara.  Junho de 2016 55 kg Crises de pânico e ansiedade quase todos os dia. Diagnóstico de Depressão Grave Dias antes do que eu chamaria de fim.  Se cuide  Se trate Não é frescura  Não é falta de Deus Faça terapia #depressão #ansiedade pic.twitter.com/YQvABXVpYD,https://twitter.com/smpths/status/1123635538802745345
90,nadiouribeiro,Morro de medo de ir num psicólogo e sair de lá com o diagnóstico de depressão.,https://twitter.com/nadiouribeiro/status/1123608282579513345
91,gianinnahadassa,"Tive o diagnóstico de depressão com 12 anos, comecei o acompanhamento psiquiátrico, psicológico e com medicação desde então Foi tudo muito difícil, tentei suicídio mais de uma vez e tive sérios problemas com automutilação, isso foi de 2013 até 2017 início de 2018>>>>",https://twitter.com/GianinnaHadassa/status/1123441855105044481
92,ksoouttd,"""da próxima vez que tentar comentar suicídio, espero que consiga, aí terei um motivo legítimo para nunca mais olhar para sua cara idiota""  namoramos durantes 6 meses, mas ele me deu um pé na bunda depois que recebi um diagnóstico de depressão grave. essa foi a última mensagem +",https://twitter.com/ksoouttd/status/1123420348945510400
93,fodac_mermao,Eu nao desejo diagnóstico de depressao a ninguém. Papo 100,https://twitter.com/fodac_mermao/status/1122717262203502593
94,karesterica,Por que pros Psicólogos é tão difícil aceitar o diagnóstico de depressão?,https://twitter.com/karesterica/status/1122699996858658819
95,bfrtay,Os torcedores do Botafogo já nascem com o diagnóstico de depressão,https://twitter.com/bfrtay/status/1122534264715845640
96,jesslima13,"eu odeio fazer competição de sofrimento, mas se a pessoa não teve 2 parentes/amigos mortos em uma semana, um pai com câncer, um diagnostico de depressão, um estágio que não pode faltar e uma faculdade a ser terminada, eu não quero ela dizendo que tá “ocupada” pra mim",https://twitter.com/jesslima13/status/1122517969282768902
97,ondulei,"Eu tive o diagnóstico de depressão com 12 anos e desde então faço tratamento,desde mt nova sofria bullying na escola e com o tempo só piorou, a escola n fazia mt a respeito dos casos de bullying mesmo eu reportando a eles, eram aquelas ""conversas sérias"" que no final n mudavam nd",https://twitter.com/ondulei/status/1122372097408421888
98,aham_honey,"Tava tranquilona nesse site pra me descontrair mas só vi biscoitagem e auto diagnóstico de depressão de adolescente com falta de uma conta pra pagar  MANO O TT SÓ ME IRRITA, CADÊ OS MEME? EU VIM PRA RIR",https://twitter.com/aham_honey/status/1121997099292418048
99,cheryrwin,hoje veio vi duas mães aqui no laboratório falando que o filho está com diagnóstico de depressao,https://twitter.com/cheryrwin/status/1121842208607485952
100,maydyke_,Eu não tenho diagnóstico de depressão e a única coisa que suspeito ter é transtorno de ansiedade porque faço terapia há 4 anos e eu nem falo sobre isso e nem gosto que tentem falar o que tenho ou que deixo de ter,https://twitter.com/maydyke_/status/1121606438114267138
101,cheadeleruaite,uma das pessoas mais importantes da minha vida tá com um pré diagnóstico de depressão  não consigo pensar em outra coisa q não seja prezar pela vida dela o quanto eu puder,https://twitter.com/cheadeleruaite/status/1121587446192455680
102,gustavo_troi,"Gentee hoje eu levei um feedback KKK do meu professor de saúde mental, onde ele praticamente me disse que estou doente... E que preciso de ajuda! Diz ele que pra eu fechar o diagnóstico de depressão só falta descontar os problemas no álcool e no cigarro... Coitado ele nem sabe!",https://twitter.com/Gustavo_Troi/status/1121527535068643328
103,mariahelenanfb,Receber o diagnóstico de depressão sendo profissional da saúde é o pior estigma social que você pode vivenciar. A dor de quem cuida é sempre um borrão no quadro maior.,https://twitter.com/mariahelenanfb/status/1121465169429893121
104,emputeciana,"hj conversando com um amigo entramos no assunto depressão, pasmem, pra ele uma pessoa pra ter justificativa do diagnóstico de depressão tem que ter a vida uma merda, ele é um jovem, não podemos culpar nem falta de informação...foda.",https://twitter.com/emputeciana/status/1121260417265827841
105,agabrielepp,"nós últimos dias vi muita gente que quando contei que recebi o diagnóstico de depressão severa, publicar aquela coisinha de ""se tiver com isso pode me chamar, te quero vivo"" isso é pura idiotice, porque fui a prova de que vocês só sabem falar ""é só vc sair"" ""vc nem tenta"" ++",https://twitter.com/agabrielepp/status/1121048803577090048
106,maritosin_,vocês realmente tem diagnóstico de depressão e ansiedade ou só gostam de falar pra parecer legal?,https://twitter.com/maritosin_/status/1120901596785909760
107,gihsouzza,Você percebe que a coisa está ficando séria quando já tem gente com diagnóstico de depressão na sua turma do mestrado. O.O',https://twitter.com/GihSouzza/status/1120897956377452546
108,victorlula,E quem ainda tá no armário e já tem diagnóstico de depressão?!,https://twitter.com/victorlula/status/1120812638999580672
109,sabrinamustdie,desafio: ouvir minha playlist sem terminar como eu (diagnóstico de depressão severa e borderline); até hj ngm ouviu essa lista sem ficar pelo menos mt triste boa sorte.   https://open.spotify.com/user/sabrinxf/playlist/43G6pAvp7ctyusFynXNpsP?si=g0cgqZjDRnyv-cOZDQLq4A … pic.twitter.com/PtvxUbifWa,https://twitter.com/sabrinamustdie/status/1120531678064205825
110,rosathaiss2,"+ não somos responsáveis pelas ações do outro. Mas um pouquinho de cuidado, não mata, viu? O que mata é  a pessoa estar suplicando por um cuidado, mínimo que seja, e você não dar a mínima. Além do diagnóstico de depressão, eu enfrento também a ansiedade e a bipolaridade",https://twitter.com/rosathaiss2/status/1120131385786761218
111,isabellalvss_,"receber um diagnóstico de depressão é difícil, piora quando tudo que você faz é ficar dentro do quarto e não conseguir sair, chorar, sentir medo, pensar n coisas que possam acabar com a sua vida",https://twitter.com/isabellalvss_/status/1120071983541174273
112,potatorecheado,"Faz 7 meses que recebi meu diagnóstico de depressão ansiosa e é bom saber que finalmente eu tô colocando as coisas no lugar, mesmo a bagunça sendo grande",https://twitter.com/potatorecheado/status/1119966205673132032
113,meifiori,"A 1a vez q recebi diagnóstico de depressão eu solene e arrogantemente ignorei. Não era possível, sabe? Minha vida só melhorava, eu trabalhava com coisas cada vez melhores, ganhando mais, tava namorando, viajando, mto mais saudável fisicamente, cheia de plans pro futuro... Pifei",https://twitter.com/meIfiori/status/1119529109770702848
114,ratazanica,eu que tenho diagnostico de depressao vendo um post no buzzfeed 'coisas que podem ser sinais de depressao': nossa eu PRECISO ler isso . vai que eu tenho depressao,https://twitter.com/ratazanica/status/1119029371208118274
115,marisaono,"61 Há 13 anos recebo o diagnóstico de depressão. Para mim foi muito difícil admitir que precisava de ajuda, que não era algo passageiro. Creio que este será último post, a não ser que queiram saber mais.",https://twitter.com/marisaono/status/1118647200702242816
116,thaiviannaa,aceitar diagnóstico de depressão é difícil,https://twitter.com/thaiviannaa/status/1118631401883041792
117,newcolor1967,"Não aceito o diagnóstico de depressão nenhuma na minha vida, pois eu tenho Jeová Rafhá, o Senhor que me sara.",https://twitter.com/newcolor1967/status/1118587317432791043
118,jubsdecamps,"é a segunda vez na vida que eu recebo o diagnóstico de depressão, mas é a primeira vez que eu consigo ter raros momentos de ""respiro"", quando vejo que meudeus é isto que se chama depressão e meudeus vamo rir um pouco disso pq não tá sendo fácil não",https://twitter.com/jubsdecamps/status/1118507109010767872
119,edsonneves600,"Para sair de provavel diagnostico de depressão eu saio pra conhecer pessoas e suas historias de vida hoje encontrei o Arnold uma pessoa gente boa que tive a honra de conhece lo, ele vende a famosa bala bombom a 11 anos no sinal no centro da cidade de vitória.  pic.twitter.com/7XPj5tpjGT",https://twitter.com/Edsonneves600/status/1118225955275907073
120,edsonneves600,"Para sair de uma provável diagnóstico de depressão sai para conhecer pessoas, conversar e conhecer suas histórias de vida. Hoje tiver a honra de conhecer duas pessoas maravilhosas o senhor Marcos (59) e senhor Eustáquio (58).  pic.twitter.com/XbokZ1q8t4",https://twitter.com/Edsonneves600/status/1118191411604656128
121,bellyspassos,Daí veio o diagnóstico de “depressão reativa”.,https://twitter.com/bellyspassos/status/1118188193919250434
122,noxdracarys,Chorando pq a menina foi grossa comigo no tt isso é o auge da minha sensibilidade no período pré diagnóstico de depressão,https://twitter.com/NoxDracarys/status/1117956266612154368
