,username,tweet,link
1524,0ff0n0ff,ja faz mais de dois anos q fui diagnosticado com depressao e ansiedade e minha mae ainda n entende q tenho recaida e ate hj n pesquisou os sintomas p tentar me entender 😍😍😍   ps: comecei a apresentar esses sintomas faz 5anos,https://twitter.com/0FF0N0FF/status/1131266142817914881
1544,sorvetedaora,"mermao, so queria falar um bagulho. eu fui diagnosticado com depressao mas eu n sei se ta certo. tipo, eu nao vejo que é algo que precisa ser tratado a vontade de nao estar vivo. tipo, seria facil se eu morresse mas as pessoas nao querem e é egoísmo. eu nao sei, eu vou falar cm",https://twitter.com/sorvetedaora/status/1127743877241241600
1548,zacson13,eu fui diagnosticado com depressão há dois anos e eu luto todo dia com ela mas parece que nunca vou ganhar   desde a hora que eu levanto até o momento que eu me deito tenho que ser forte pra não cair em mundo triste e ruim  só nos sabemos os monstros que temos que enfrentar,https://twitter.com/Zacson13/status/1126965710251614208
1550,creativezaach,"De mal a pior. Sim, fui diagnosticado com depressão. Não tenho mais apetite e me sinto vazio, eu vou sumir por um tempo mas não se preocupem, eu só quero diminuir toda essa dor no meu peito.",https://twitter.com/CreativeZaach/status/1126803843835150337
1556,_victorcasemiro,"Não sei se todos aqui sabem, mas a um tempo atrás eu fui diagnosticado com depressão e TAG (transtorno de ansiedade generalizada), e desde então iniciei o tratamento com medicação/antidepressivos",https://twitter.com/_victorcasemiro/status/1126237597288861696
1557,falapatti,"Postei uma foto minha criança nos stories. Toda feliz e sorridente, com 11 anos. Sei bem quando aquela foto foi tirada, pois eu morava em Rio Preto e a roseira que posei atrás ficava no quintal de casa. 11, eu tinha. 1997.  Foi quando fui diagnosticado com depressão pela 1a vez.",https://twitter.com/falapatti/status/1126088059458551808
1559,treeckotreco,Depois q fui diagnosticado com depressão perdei 5 quilos to pesando 40 Nesses quatro dias eu dormi pq tentei me matar n to conseguindo comer tudo me da enjoo,https://twitter.com/Treeckotreco/status/1125704329736982529
1561,094shn,"Falando nisso, na minha última sessão com a psicóloga eu refiz os testes para ansiedade e depressão. Da última vez, fui diagnosticado com depressão e ansiedade em níveis severos. Vamos ver no que vai dar dessa vez.",https://twitter.com/094SHN/status/1125478386581889024
1562,sorvetedaora,"primeiro tweet falando sobre algo, yay. vou falar sobre a desgraça da depressão. eu fui diagnosticado com depressão 1 mês atrás (não exatamente), eu tenho uma amiga que fala que eu já estava apresentando sintomas mais do que 1 mês atrás. é uma tortura pensar qeu eu vou viver anos",https://twitter.com/sorvetedaora/status/1125417411065331713
1566,bruuuumno,Cara fui diagnosticado com depressão por não ter dinhero final de semana tabom vamos trabalha p vê se esqueço que quando acaba o expediente vou ter que ir p casa,https://twitter.com/bruuuumno/status/1124667250101882886
1568,librianjoo,Dá última vez que isso aconteceu eu fui diagnosticado com depressão,https://twitter.com/librianjoo/status/1124115291024310272
1571,rashkolnikow,"22. falando nisso, fui diagnosticado com depressão em 2017 com 14 anos e tomo sertralina desde então, mas eu honestamente acho que esse diagnóstico tá errado e tenho alguma outra coisa",https://twitter.com/rashkolnikow/status/1123290846533648385
1576,dayvisonhebert,"Há um tempo fui diagnosticado com depressão e espectro bipolar, meio que tudo se encaixou. Não que você esteja também doente. Hahahahaha",https://twitter.com/DayvisonHebert/status/1122692724115656704
1579,tiau_e_fodas,A ultima vez que fiquei tao emotivo foi em 2016 quando fui diagnosticado com depressão.,https://twitter.com/tiau_e_fodas/status/1122340404987346949
1580,michel_croesy,"Desde quando fui diagnosticado com depressão, foi uma das melhores coisas que aprendi e me esforçar para fazer as coisas: Pra mim mesmo. <3",https://twitter.com/Michel_croesy/status/1121871399726063616
1581,sailorfrootjail,"Sinceramente não sei como nunca fui diagnosticado com depressão, I'm gagged",https://twitter.com/sailorfrootjail/status/1121582403632410624
1583,drew_hates,Eu to abismado que fui diagnosticado com depressão,https://twitter.com/Drew_hates/status/1121480925521567744
1585,opaeuviem,fui diagnosticado com (depressão unipolar) e não sei oque faço..,https://twitter.com/opaeuviem/status/1121380973898338304
1587,99mersao,"fui diagnosticado com depressão  é meus amigos, estou sentindo na pele aquilo que eu achava que era frescura",https://twitter.com/99mersao/status/1121192775179960320
1588,coccinellebling,"Desde que eu fui diagnósticado com depressão, a saúde mental da minha mãe também não tá uma das melhores. Eu preciso tomar tanto cuidado na hora de falar com ela, e isso cansa.",https://twitter.com/coccinellebling/status/1121167201854263297
1590,rafael_penha_76,"Concordo com @jefersonspfc100  em 100% do que ele disse.... depressão não te faz perder a capacidade de discernimento do que é certo ou errado, ele errou e deve pagar, que se recupere, mas compaixão eu não tenho também Eu já fui diagnosticado com depressão e sai dessa trabalhando",https://twitter.com/rafael_penha_76/status/1121112350856290304
1593,bbrito9,"Em 2017 eu fui diagnosticado com depressão e transtorno de ansiedade, por ironia do destino foi o ano em que eu entrei pra engenharia numa federal o que era meu sonho, nesses dois anos eu agora começo a melhorar, a depressão adiquirida no trabalho me afastou de tudo+",https://twitter.com/bbrito9/status/1120877399300890625
1605,fakedogre,nossa mano consegui ir num psiquiatra e fui diagnosticado com depressao e psicose,https://twitter.com/fakedogre/status/1120385794659762176
1610,xxgtmn,Boa Páscoa pra mim que fui diagnosticado com depressão 2 logo hj....,https://twitter.com/xxgtmn/status/1120099697081901056
1612,pedrohe01039264,"Fui na psicologa hj e pela segunda vez em 1 ano e meio, fui diagnosticado com depressão... É como dizem nem todo sorriso e verdadeiro né",https://twitter.com/PedroHe01039264/status/1119772430732599296
1615,highp4rker,2 • apesar disso tudo eu nunca fui diagnosticado com depressão ou ansiedade que me levassem a tomar remédios controlados. Já tive leves surtos mas nd a ponto de TANTO. Também nunca deixei de fazer minhas obrigações por mais que me doesse ou acabasse “mal feito”,https://twitter.com/highp4rker/status/1119254322200686592
1616,p0len_depressed,"na  vdd eu fui diagnosticado com depressão em 2016, 3 meses dps que minha mãe morreu. mas já que a senhorita gorda diz que é por isso, você está certa, afinal qualquer coisa q homem diz hoje em dia é maxismu e ixtrupu hah. fêmea escrota, buceta de bacalhau",https://twitter.com/p0len_depressed/status/1119043375095844864
1617,hirohitobr,"Vocês devem imaginar, eu fui diagnosticado com Depressão Melancólica, que é uma depressão que não tem causa aparente (Depressão com causa aparente=Depressão pós-parto por exemplo), e foi um choque tremendo na hora, tanto pra mim quanto pra minha mãe",https://twitter.com/Hirohitobr/status/1119028741370515457
1621,jonbfr,"2018 foi um ano bem conturbado, pra mim não foi muito diferente  Tive perdas familiares significativas, pressão do final da faculdade e uma baita decepção com relacionamento  Em dezembro, após relutar, decidi fazer terapia e fui diagnosticado com depressão em um quadro ainda leve",https://twitter.com/jonbfr/status/1118640304675069952
1625,masriele,[15/04/19 2:16:35 PM] Mariele: acho que meu tipo de homem eh meio que o elliot [15/04/19 2:16:44 PM] Mariele: de mr robot [15/04/19 2:18:49 PM] : to ligado [15/04/19 2:21:10 PM] : ja te falei que quando era mais novo fui diagnosticado com depressão e dupla personalidade?,https://twitter.com/masriele/status/1117841036380971009
1633,gbrsoares27,"cara, eu não imaginava que minha vida ia mudar tanto em 8 meses. Em agosto eu fui diagnosticado com depressão, em outubro eu estava empregado, em janeiro fui promovido, e hoje virei diretor de marketing. A mudança é tão natural que a gente nem percebe ela vindo.",https://twitter.com/gbrsoares27/status/1116821742297722881
1634,mynameiscentury,"Já faz um tempo desde que eu fui diagnosticado com depressão e ter sido recomendado um psiquiatra para me passar remédios pra isso, e até hoje eu espero por isso",https://twitter.com/mynameiscentury/status/1116648546906906624
1637,vortisrd,"Foi meio venenoso pra mim. Ainda é. E dói.  Me pego querendo fazer mais pra ter essas pessoas do meu lado (ainda mais esses tempos, quando fui diagnosticado com depressão e ansiedade).  Ainda tô aprendendo a lidar com isso. Mas fácil não tá sendo.  E vamo que vamo...",https://twitter.com/vortisrd/status/1115602809150291970
1638,guilerme_correa,Sonhei que fui diagnosticado com depressão,https://twitter.com/Guilerme_correa/status/1115276689276395522
1648,psicobug,"Ex 2: Eu estava lá quando vc mais precisava , estava ali pra lutar contigo contra seu vício em drogas. Mesmo assim vc me largou quando fui diagnosticado com depressão. Você nunca me mereceu! E voltar meses depois do término pra pedir dinheiro só prova isso !",https://twitter.com/psicobug/status/1113451454549962752
1649,alexjnnr,"qnd fui diagnosticado com depressão, senti muita raiva da pessoa q ""tinha feito isso cmg"". Mas ultimamente tenho pensado q a primeira culpa é minha, pq eu me permiti diversas coisas, situações, depositei confiança e felicidade em alguém, sendo q isso tudo precisa estar só em mim.",https://twitter.com/alexjnnr/status/1113432512401899521
1651,notyourbasicpsy,"-o que vc estuda? - psicologia - nossa, que bom  eentão vc vai poder me ajudar pq eu terminei tem x meses/ pq eu tenho um sonho que fica se repetindo/ pq eu fui diagnosticado com depressão com ansiedade com bipolaridade/ pq eu tenho uma dificuldade de me relacionar  https://twitter.com/arrombida/status/1112760531843276805 …",https://twitter.com/notyourbasicpsy/status/1112824831987367941
1652,_dazedsinner,"exatamente, eu fui diagnosticado com depressão e o que me faz falar abertamente sobre isso é ter mudado o meu pensamento de que quem tinha isso era “fraco”, tem tanta gente em situação pior e eu procurando problema, passei a ver que eu precisava de ajuda e tem mal que vem p bem",https://twitter.com/_dazedsinner/status/1112812205098090497
1658,vortisrd,"É mais comum do que tu pensa, bicho.   Fui em um psicoterapeuta nessa segunda-feira e fui diagnosticado com depressão e ansiedade.  Agora é correr atrás, porque o poço é fundo e a subida é difícil.",https://twitter.com/vortisrd/status/1110892185510178817
1659,ivanrafaelh,"Pouca gente sabe, mas a pouco menos de um ano fui diagnosticado com depressao grave e a única coisa que eu queria era sumir/morrer...Me sentia a pior pessoa do mundo é um peso para todos que estavam a minha volta, tinha dias que não queria sair da cama ...",https://twitter.com/ivanrafaelh/status/1110190093149618177
1662,ceruttilcerutti,Eu to triste pq fui diagnosticado com depressão intensa mas também estou feliz porque segunda eu vou passar o dia conversando com os médicos,https://twitter.com/CERUTTILCERUTTI/status/1109103159815954432
1664,vieneinpace,"fui diagnosticado com depressão e não sei se fico só na terapia ou se tomo remédio também (fui receitado). medo d… — remédio pode ser bom pra vc funcionar, mas continue na terapia  https://curiouscat.me/vieneinpace/post/806193262?t=1553191208 …",https://twitter.com/vieneinpace/status/1108790411177443329
1666,telinhobosco,"Esse é um trabalho muito importante pra mim. Nunca fui diagnosticado com depressão, mas quando fui para o psicólogo percebi o quanto deve ser difícil lutar contra essa doença. Força para os migos que sofrem disso e saibam que podem contar comigo",https://twitter.com/TelinhoBosco/status/1108427838452056064
1667,gabandsil,o pior é que eu nunca fui diagnosticado com depressão e vem um ser e pergunta isso Coragi porque noção...  https://twitter.com/GabAndSil/status/1108389486839373824 …,https://twitter.com/GabAndSil/status/1108389921889402880
1680,jovemtrist3,"Sei q ninguém liga, mas eu gostei   1- fui diagnosticado com depressão aos 8 anos 2 - tenho uma facilidade gigante em desapegar das pessoas  3 - não sei demostra amor ou amizade  4 - tenho problemas com jogos eletrônicos 5 - nenhum tipo de droga q usei até hj me vício  https://twitter.com/Renk_lol/status/1105927316050530304 …",https://twitter.com/jovemtrist3/status/1105993286051917827
1687,orelhv,"As pessoas esquecem que fui diagnosticado com depressão grave, sindrome do panico e ansiedade em estado avançado.. e foi por um psiquiatra ta? Nao foi do google nao, inclusive gasto 125 reais por mes com remédios pra isso.",https://twitter.com/orelhv/status/1105525064919891968
1688,heitor_lianza,"Hoje fui diagnosticado com depressão, acredita que só agora minha família percebeu que não era “drama”",https://twitter.com/heitor_lianza/status/1105289948511510534
1704,ogroamigo,"Procurei ajuda e fui diagnosticado com depressão, aquela com Sid não as fakes auto intituladas",https://twitter.com/ogroamigo/status/1100885276728147968
1705,alefrits,fui diagnosticado com depressão depois de usar o twitter no modo noturno,https://twitter.com/alefrits/status/1100551546851549184
1713,darthmathot,"Cada pessoa com depressão é sozinha, os sintomas pós em ser parecido mas são muitas variáveis de pessoa para pessoa. A depressão pode ser desencadeada a partir de um acontecimento ruim ou trauma. Eu sei que fui diagnosticado com depressão e transtorno bipolar com 4 anos de idade",https://twitter.com/DarthMathot/status/1098806325629341697
1714,ne_pomucenoo,"Eu fiquei do dia 03 até o dia 06 sóbrio, sem tomar remédio para dormir ou ficar dopado, no dia 06/11/2019 minha amiga foi comigo no psiquiatra da emergência e lá fui diagnosticado com Depressão psicótica e crise de ansiedade, desde então eu tomo vários remédios todos os dias",https://twitter.com/ne_pomucenoo/status/1098683492072861696
1722,ziikysilva,"Depois de muito tempo consegui ir no médico, como já era de se esperar fui diagnosticado com depressão 😪",https://twitter.com/ziikysilva/status/1096173752038158338
1726,acioli_karla,"Há um tempo atrás, fui diagnosticado com depressão pôs traumática, mas é smp aquele negócio né? A gente acha que sempre amanhã vai ser melhor do que hoje, e deixa de procurar ajuda pra depois ...",https://twitter.com/acioli_karla/status/1095794657232072712
1732,px_domaschesky,"ele tem denúncia na polícia por tirar fotos das crianças e usou o diagnóstico de depressão pra justificar ""eu fui diagnosticado com depressão, aí...  http://recordtv.r7.com/domingo-espetacular/videos/conheca-o-velhinho-que-bombou-na-internet-ao-tentar-fazer-slime-em-casa-10022019 …",https://twitter.com/Px_Domaschesky/status/1094979453053292545
1735,fbcpx2,fui diagnosticado com depressão ansiosa,https://twitter.com/fbcpx2/status/1093096969327861760
1742,lanaisdead,pô mas fui diagnosticado com depressão aos 12 kkkkkkkkkkkkkkk foda,https://twitter.com/LanaIsDead/status/1092226146354294784
1743,glauberkayron,"Entendi. A uns 10 anos atrás nem passava pela minha cabeça que uma dor física que eu tinha era “coisa da minha cabeça”, fui diagnosticado com depressão atípica, nunca tinha ouvido falar, mas basicamente eu criava um problema físico no meu corpo, decorrente da depressão.",https://twitter.com/glauberkayron/status/1091903946757734402
1744,tvm97,"fui diagnosticado com depressão, agora já posso dizer que tou deprimido sem ser julgado por usar a palavra a toa",https://twitter.com/tvm97/status/1091333160502263808
1753,ozudow,"Já fui diagnosticado com depressão e sofro de ansiedade. Dai nesses 4 anos desde a perda isso agravou. Quem já passou ou passa por isso sabe o quanto é desesperador. As crises, as noites mal dormidas, achar que tudo vai dar errado, os medos por coisas obvias.",https://twitter.com/ozudow/status/1088091902107373573
1755,igorparrela,"Eu já fui diagnosticado com depressão e tomo remédios para controlar a ansiedade. Sempre que possível alerto a todos para cuidarem da saúde mental, que não é brincadeira.",https://twitter.com/igorparrela/status/1087812824641032192
1756,leogreque,Seu dia tá louco?   Imagina o meu que tropecei numa consulta com o neurologista e fui diagnosticado com depressão,https://twitter.com/leogreque/status/1087792255098912768
1758,exintenso,"fui diagnosticado com depressão ano passado por causa de uma pessoa que conheci. Não é fácil e ainda tenho resquícios da depressão em mim, mas até hoje eu faço tratamento. É difícil, mas vc tem que acreditar em você mesmo",https://twitter.com/exintenso/status/1087767412278202370
1760,houterspace,"me recomendaram fazer exercício físico e duas dosagens de antidepressivos (que também servem pra ansiedade/agorafobia). porém, como fui diagnosticado com depressão pouco tempo depois, o lance de exercício físico ficou mais difícil ainda.  https://twitter.com/carolinelins/status/1087396944065060865 …",https://twitter.com/houterspace/status/1087586918597120000
1761,gio_fps,"Não eram críticas do tipo ""Porra, jogou malzao caraio! Tem que melhorar aí"", era exatamente do tipo ""Vocês não merecem vestir essa camisa, eu torço pra que vocês morram e saiam do meu time.""  A minha sorte é que eu fui diagnosticado com depressão aos 9 anos e cresci sabendo lidar",https://twitter.com/gio_fps/status/1087353468208189440
1763,futurolenin,"Sobre o porte de arma na pressão psicológica dentro de casa: Eu fui diagnosticado com depressão já fazem mais de 1 anos e meio, e eu digo com toda certeza que se meu pai tivesse uma arma em casa eu não pensaria duas vezes em meter uma bala na minha cabeça...",https://twitter.com/FuturoLenin/status/1086788896325812224
1764,toadgeek,"E, vou falar de uma parada super pessoal aqui:  Durante o ano de 2018, eu fui diagnosticado com depressão bem forte, e eu planejei meu suicídio duas vezes.  Por N motivos que eu não quero falar aqui, eu entrei num estado total de apatia e tristeza, dor emocional constante.",https://twitter.com/toadgeek/status/1086707694034026497
1766,vndrxy7,"2. Em 2008/9 fui diagnosticado com depressão e síndrome do pânico por conta do impacto da morte do meu bisavô na minha família. Fiz tratamento até meados de 2014, hoje em dia estou melhor, mas ainda convivo com a depressão.",https://twitter.com/vndrxy7/status/1086056084706676737
1767,ituuugk,Já fui diagnosticado com depressão e psicose,https://twitter.com/ituuuGK/status/1085957463155847170
1770,teiko_san,"4- na sexta série fui diagnosticado com depressão e a minha escola me mandou para um psicólogo, mas nunca fui nele rs",https://twitter.com/Teiko_san/status/1085681176814280704
1773,spinallhead,"@cyberglot Também fui diagnosticado com depressão crônica e, apesar de eu achar que era um pouco exagerado esse diagnóstico, aceitei e fui seguindo o que a psiquiatra e a psicóloga estavam me aconselhando. Depois passei por momentos piores ano passado e sei que não erraram.",https://twitter.com/spinallhead/status/1085229237018247168
1774,rafwlm,"Eu comecei a sofrer bullying nos meus três últimos anos no Carmo (7º, 8º e 9º) desde então eu comecei a fazer terapia, e foi nesse meio tempo que eu fui diagnosticado com depressão e ansiedade, passei uns estresses com a escola mas no fim deu quase tudo certo quando fui pro cetec",https://twitter.com/rafwlm/status/1085010216461262849
1781,luancodaz,"Nunca fui diagnosticado com depressão, mas tenho ctz que já tive e amém que hoje não tenho mais esses pensamentos ruins etc",https://twitter.com/luancodaz/status/1083208155771928576
1782,duhdionisio,"Hahaha olha só q coisa, fui diagnosticado com depressão, ansiedade e mais uma coisa q não me lembro, o mais legal disso tudo, la em casa não adianta conversar sobre oq os coroas acham frescura e minha irmã já tem as bagunça dela na cabeça..e aí eu publico aqui no tt pq ninguem ve",https://twitter.com/DuhDionisio/status/1083207889374928896
1783,o_menino_dih,"2018 foi uma merda, passei por poucas e boas, fui pro fundo do poço, me afastei de todos e no fim fui diagnosticado com depressão e ansiedade, estou me tratando até hoje com medicamentos e depois que eu voltei, eu tomei um rumo na minha life",https://twitter.com/o_menino_dih/status/1082478805552414720
1786,moryssu_,chegou 2019 e a minha retrospectiva 2018 foi num peguei ninguem fui diagnosticado com depressão falei oq não devia pra muita gente bebi pra karai me apaixonei e me fudi como sempre tentei me matar mas num deu perdi tudo ATÉ UM CELLULAR VI FILME ATÉ ACABAR OS FILME POSSIVEL Q LIXO,https://twitter.com/moryssu_/status/1080852137230385152
1787,hermironney,"2018 foi uma ano totalmente complexo pra mim, passei por muita coisa.Vivi um relacionamento que deixou traumas pesados, insatisfação no campo profissional, fui diagnosticado com depressão e até pensei em suicídio. Contudo, superei tudo espero que com a mesma força eu vença2019!",https://twitter.com/hermironney/status/1080122641053372416
1789,xlovatx,"2018 foi um ano bastante complicado para mim, perdi pessoas próximas, fui diagnosticado com depressão, tentei tirar a minha vida varias vezes e minha crise de ansiedade aumentou 90%, enfim muitos me abandonaram quando eu mais precisei, outros chegaram no momento certo +",https://twitter.com/xlovatx/status/1079596477687742465
1793,lovatouniterx,fui diagnosticado com depressão em período inicial  pic.twitter.com/jO9XROuvi9,https://twitter.com/lovatouniterx/status/1078777104387506177
1796,lopesfeliphe,"Essa musica que me livrou da overdose de tarja preta, e na semana seguinte fui diagnosticado com depressao sazonal   https://open.spotify.com/track/0cvqbA9FcD1xgUaUsYlzgz?si=iQX11FCATQmL2ON2zctjqA …",https://twitter.com/LopesFeliphe/status/1078398391384752128
1797,choippotto,"Billy foi a vozinha na minha cabeça dizendo ""spring nicht"" quando eu fui diagnosticado com depressão aos 12 anos de idade... E Yuzu apareceu na minha vidinha pra disputar ali minha atenção no gelo com a minha Lagartija haha ♡",https://twitter.com/ChoiPpotto/status/1078340579812147200
1798,joao_morelatto,"és suicida e sofre de depressão? — Não sou suicida, acredito que mesmo no pior dos casos, há uma solução. E sim, já fui diagnosticado com depressão  https://curiouscat.me/morelatto/post/743262517?t=1545925586 …",https://twitter.com/joao_morelatto/status/1078316180472057856
1800,henryp39,"3• Eu reprovei o primeiro ano do ensino médio duas vezes, na terceira eu fui diagnosticado com depressão, eles tiveram uma conversa séria comigo na escola, e eu passei pro segundo ano.",https://twitter.com/HenryP39/status/1077942761238786048
1805,jotaateixeira,"há um ano fui diagnosticado com depressão, após um tantinho de acontecimentos que ocorreram comigo.",https://twitter.com/jotaateixeira/status/1077076557414449153
1816,jplimag,"7- Eu fui diagnosticado com depressão uns anos atrás, mas como eu tendo a ser polido e simpático a maior parte do tempo, ninguém tinha ideia até eu aparecer com o atestado. O exótico é que eu trabalhava na secretaria municipal de saúde, cercado de profissionais da área.",https://twitter.com/jplimag/status/1074473310879125504
1817,prevspop,"eu fui diagnosticado com depressão, ataque de ansiedade e complexo de inferioridade, mas mesmo assim sempre amei ajudar as pessoas, pra quem n sabe eu tive um kiwi (tipo um cc) onde eu dava conselhos e uma adm maldosa roubou a conta de mim (2016) vcs são muito importantes pra mim",https://twitter.com/prevspop/status/1074470534006607872
1824,dorindow,"Eu já fui diagnósticado com depressão mas optei não fazer tratamento e ""melhorei"" do meu estado sozinho",https://twitter.com/dorindow/status/1073291131667038208
1825,aleocinogeno,"Amiga, eu fui diagnosticado com depressão e, quando isso acontece, alguns processos demoram e ficam bem difíceis. Realmente não vem da noite pro dia. Mas tem que partir de você.",https://twitter.com/aleocinogeno/status/1073220071756087296
1828,mendrullo,"A uns meses atrás eu fui diagnosticado com depressão, comecei todo aquele tratamento de bosta, cansativo pra caramba, mas foi só eu me afastar de algumas pessoas tóxicas que eu melhorei 70%, é impressionante como certas pessoas só estão na sua vida pra te fuder",https://twitter.com/Mendrullo/status/1072843755596713985
1833,vxnxcxvzzz,"Pq tu és mto $adddd — fui diagnosticado com depressao vai fazer 3 anos. mas hj em dia to mais de boa, viu nd  https://curiouscat.me/vxnxcxvzzz/post/727666733?t=1544321373 …",https://twitter.com/vxnxcxvzzz/status/1071587626199736321
